number,local_first_derivative_maximum,local_first_derivative_maximum_time,amplitude_first_derivative_maximum,local_second_serivative_maximum_time,local_minima_amplitude,local_minima_time,index_maxima,index_tangent_last,index_tangent,tangent_intercept_Swath,tangent_slope_Swath,intersection_time_swath,tangent_intercept,tangent_slope,intersection_time,probe_end_time,travel_length_medium,travel_time_media,air_start_time,air_end_time,theoretical_probe_end_time,rounded_theo_probe_end_time,swath_offset_time,index_minima,index_minima_tangent_first,index_minima_tangent_last,minima_swath_intersection,rounded_minima_swath_inters,r_Square_maxima
2,560,3930,2184,4085,1456,3345,787,792,782,-7527.4909090910205,2.4709090909091187,3635.702722590144,-8820,2.8,3669.9999999999995,3670,0.01,396.6526608171605,2415,2681.6666666666665,3078.319327483827,3080,-557.383395106317,670,665,675,3648.5391104294513,3650,0.9979903814978931
3,580,3825,1595,3870,1266,3420,766,771,761,-7991.0909090904715,2.505454545454432,3694.7750362844627,-9497.5,2.9,3711.551724137931,3715,0.015,594.9789912257406,2415,2648.3333333333335,3243.312324559074,3245,-451.46271172538854,685,680,690,3701.6419019316436,3705,0.994607108811112
4,680,3865,1440,3950,1093,3455,774,779,769,-9937.154545454596,2.9436363636363763,3747.118591723287,-11701,3.4,3762.9411764705883,3765,0.02,793.305321634321,2415,2615,3408.305321634321,3410,-338.81327008896596,692,687,697,3754.550917141051,3755,0.9963512445072911
5,459.99999999999994,3915,1366,3750,1003,3550,784,789,779,-6673.427272727305,2.0527272727272803,3739.623560673164,-7638.5,2.3,3757.1739130434785,3750,0.025,991.6316520429012,2415,2581.6666666666665,3573.298318709568,3575,-166.325241963596,711,706,716,3748.1411439114413,3750,0.9915835576369544
6,560,4255,1599,4250,928,3665,852,857,847,-9145.718181817763,2.5254545454544477,3988.8732901367775,-10315,2.8,4015.3571428571427,4020,0.03,1189.9579824514813,2415,2548.3333333333335,3738.2913157848147,3740,-250.5819743519628,734,729,739,4007.8593155893436,4010,0.9983136532510908
7,680,4295,1551,4285,931,3675,860,865,855,-10795.263636363587,2.8745454545454425,4079.345351043643,-13052,3.4,4112.64705882353,4115,0.035,1388.2843128600616,2415,2515,3903.2843128600616,3905,-176.06103818358133,736,731,741,4085.8991650610137,4090,0.9953730915346565
8,600,4340,1425,4555,941,3730,869,874,864,-10175.81818181809,2.6727272727272515,4159.353741496597,-11595,3,4178.666666666667,4180,0.04,1586.610643268642,2415,2481.6666666666665,4068.2773099353085,4070,-91.07643156128825,747,742,752,4162.499999999998,4165,0.996697508371539
9,480,4590,1633,4425,948,4010,919,924,914,-8107.0545454542,2.121818181818107,4267.59211653812,-9383,2.4,4304.583333333334,4305,0.045000000000000005,1784.936973677222,2415,2448.3333333333335,4233.270307010555,4235,-34.321809527564255,803,798,808,4277.682060390752,4280,0.9969320976809558
10,640,4575,1354,4625,921,4175,916,921,911,-11189.909090908614,2.741818181818078,4417.108753315643,-13286,3.2,4439.6875,4440,0.05,1983.2633040858025,2415,2415,4398.263304085803,4400,-18.845449229840597,836,831,841,4428.497229916892,4430,0.996452483612014
