number,local_first_derivative_maximum,local_first_derivative_maximum_time,amplitude_first_derivative_maximum,local_second_serivative_maximum_time,local_minima_amplitude,local_minima_time,index_maxima,index_tangent_last,index_tangent,tangent_intercept_Swath,tangent_slope_Swath,intersection_time_swath,tangent_intercept,tangent_slope,intersection_time,probe_end_time,travel_length_medium,travel_time_media,air_start_time,air_end_time,theoretical_probe_end_time,rounded_theo_probe_end_time,swath_offset_time,index_minima,index_minima_tangent_first,index_minima_tangent_last,minima_swath_intersection,rounded_minima_swath_inters,r_Square_maxima
2,540,3930,2236,3985,1469,3325,787,924,650,-2143.1194068261225,1.09263921987248,3305.8665121390086,-8375,2.7,3645.9259259259256,3650,0.01,396.4845520319802,2415,2681.6666666666665,3078.1512186986465,3080,-227.71529344036207,666,661,671,3305.312723399397,3310,0.9578360027549884
3,560,3820,1623,4255,1282,3380,765,902,628,-2239.4768621793964,1.0437316869103603,3373.929244788593,-9073,2.8,3698.2142857142853,3700,0.015,594.7268280479702,2415,2648.3333333333335,3243.0601613813037,3245,-130.8690834072895,677,672,682,3374.667925658482,3375,0.9328870718565523
4,600,3855,1450,4275,1115,3450,772,909,635,-2137.050187819157,0.9544400911687474,3407.285819099343,-10115,3,3743.3333333333335,3745,0.02,792.9691040639603,2415,2615,3407.9691040639605,3410,0.6832849646175418,691,686,696,3404.473456949832,3405,0.9278287678751236
5,660,3890,1340,3875,1013,3515,779,871,687,-2823.6276183616997,1.0736234411129222,3573.5319027541323,-11497,3.3,3790.9090909090905,3795,0.025,991.2113800799506,2415,2581.6666666666665,3572.878046746617,3575,-0.6538560075150599,704,699,709,3575.491924425629,3580,0.9615509424051519
6,540,4235,1586,4210,937,3645,848,902,794,-3973.9783893985623,1.313843017329254,3737.8730370554254,-9848.5,2.7,3994.6296296296296,3995,0.03,1189.4536560959405,2415,2548.3333333333335,3737.786989429274,3740,-0.08604762615141226,730,725,735,3748.736894723991,3750,0.9827860525489569
7,560,4285,1539,4495,920,3700,858,908,808,-5153.101409435067,1.5562213162492733,3902.466407587933,-10459,2.8,4063.928571428571,4065,0.035,1387.695932111931,2415,2515,3902.695932111931,3905,0.2295245239979522,741,736,746,3916.020230564728,3920,0.9817889332515672
8,600,4315,1415,5070,942,3760,864,904,824,-6456.672990063234,1.8191508581752485,4067.102492799682,-11530,3,4157.333333333333,4160,0.04,1585.9382081279207,2415,2481.6666666666665,4067.604874794587,4070,0.5023819949051358,753,748,758,4072.030321223481,4075,0.9873523772392221
9,459.99999999999994,4315,1177,4525,946,4045,864,866,862,-8402.90000000042,2.220000000000097,4211.216216216221,-8747.5,2.3,4214.565217391305,4215,0.045000000000000005,1784.180484143911,2415,2448.3333333333335,4232.513817477245,4235,21.297601261023374,810,805,815,4216.068124474354,4220,0.9991080116769372
10,680,4585,1399,4570,931,4150,918,934,902,-9964.198418003662,2.4777406417112506,4397.231184971361,-14190,3.4,4447.35294117647,4450,0.05,1982.4227601599011,2415,2415,4397.422760159901,4395,0.1915751885408099,831,826,836,4404.696769696939,4405,0.9942020861609461
