Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,offset_swath_theo,local_Second_derv_maxima
0,1674.9921259842504,2780.2066929133857,2415,0.05,2748.3333333333335,2750,2785,Inf,0,2755.945725295539,Inf,2750,2706.5,-5.945725295538978,3025
1,2421.403945111446,3100.51457975985,2415,0.045000000000000005,2715,2715,3105,136.89000000000016,0.0049999999999999975,3091.41418328013,127.51887363700283,2767.7046276694728,2897,-323.7095556106574,3105
2,2273.173671808254,3100.907319958316,2415,0.04,2681.6666666666665,2685,3105,39.68999999999998,0.010000000000000002,3088.429062208793,37.22752044611307,2790.409255338946,2922,-298.0198068698469,3155
3,2394.8290033026897,3126.299756903095,2415,0.035,2648.3333333333335,2650,3130,23.04,0.015,3126.542696725273,22.868419523572395,2808.113883008419,2884.5,-318.4288137168537,3170
4,2047.7776149656856,3077.4035948909564,2415,0.030000000000000002,2615,2615,3080,12.16265625,0.02,2922.778355366513,5.328422776806504,2825.818510677892,2906.5,-96.95984468862116,3130
5,1912.5218007240655,3060.9830001574055,2415,0.025,2581.6666666666665,2585,3065,8.2944,0.025,2927.787512736117,4.3127870430179645,2848.523138347365,2899,-79.264374388752,3170
6,1866.474395329442,3087.1884904086737,2415,0.020000000000000004,2548.3333333333335,2550,3090,7.290000000000001,0.03,2953.279070696533,4.099526255215632,2866.227766016838,2920,-87.05130467969502,3120
7,1826.3679603151431,3108.9947475926465,2415,0.015,2515,2515,3110,6.502499999999997,0.035,2986.1000656682463,4.076362136435986,2883.932393686311,2920.5,-102.1676719819352,3120
8,1893.6732960757472,3137.223226678144,2415,0.010000000000000002,2481.6666666666665,2485,3140,6.033164062499999,0.04,3034.816867686636,4.302775474993588,2906.637021355784,2926,-128.17984633085234,3180
9,1933.5193570499032,3157.988799590264,2415,0.0050000000000000044,2448.3333333333335,2450,3160,5.601111111111111,0.045,3081.7899579286354,4.458525502707481,2924.341649025257,2951.5,-157.44830890337835,3165
10,1729.3323504633481,3127.1503791069917,2415,0,2415,2415,3130,4.601025,0.05,3051.410930278223,3.6451698495983393,2942.04627669473,2943.5,-109.36465358349324,3185
