Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,offset_swath_theo,local_Second_derv_maxima
0,1680.3990665110814,2785.845974329054,2415,0.05,2748.3333333333335,2750,2790,Inf,0,2753.709797831995,Inf,2750,2697.5,-3.7097978319948197,2825
1,1677.0877944325457,2791.156316916488,2415,0.045000000000000005,2715,2715,2795,5.760000000000006,0.0049999999999999975,2780.948872516184,3.9143284075403177,2767.7046276694728,2695,-13.244244846711354,2970
2,2323.4769105721934,3060.41025293672,2415,0.04,2681.6666666666665,2685,3065,32.489999999999995,0.010000000000000002,3039.862714097771,28.86849188893485,2790.409255338946,2897.5,-249.45345875882504,3125
3,2235.257395129538,3076.9098408235627,2415,0.035,2648.3333333333335,2650,3080,18.49,0.015,3067.902691397346,17.603844622624774,2808.113883008419,2923.5,-259.788808388927,3025
4,2002.1710580408835,3032.2083940651037,2415,0.030000000000000002,2615,2615,3035,9.9225,0.02,2897.9705955278705,4.504070133753618,2825.818510677892,2873,-72.15208484997856,2970
5,1956.052574683492,3066.4105149366983,2415,0.025,2581.6666666666665,2585,3070,8.468100000000002,0.025,2912.7023839261947,3.9450472596550896,2848.523138347365,2886,-64.17924557882952,3130
6,1926.8961681087767,3068.158220024722,2415,0.020000000000000004,2548.3333333333335,2550,3070,6.760000000000001,0.03,2944.0937227727795,3.91565714623155,2866.227766016838,2933.5,-77.86595675594162,3460
7,1850.7158917452089,3081.3168415186683,2415,0.015,2515,2515,3085,5.967551020408162,0.035,2959.454811070327,3.628287166840901,2883.932393686311,2904,-75.52241738401608,3130
8,1867.1798962325884,3100.8708117151227,2415,0.010000000000000002,2481.6666666666665,2485,3105,5.405625000000001,0.04,3010.603269317488,3.9343208853345883,2906.637021355784,2942.5,-103.96624796170408,3180
9,1922.6485855839856,3135.120108441479,2415,0.0050000000000000044,2448.3333333333335,2450,3140,5.289999999999999,0.045,3070.0762450262096,4.295158313781506,2924.341649025257,2958.5,-145.73459600095248,3265
10,1731.0334728033522,3110.181311018132,2415,0,2415,2415,3115,4.41,0.05,3032.432074785406,3.4310013027642983,2942.04627669473,2918.5,-90.38579809067596,3145
