Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,offset_swath_theo,local_Second_derv_maxima
0,1674.9921259842504,2780.2066929133857,2415,0.05,2748.3333333333335,2750,2785,Inf,0,2776.834615094625,Inf,2750,2706.5,-26.83461509462495,3025
1,2421.403945111446,3100.51457975985,2415,0.045000000000000005,2715,2715,3105,136.89000000000016,0.0049999999999999975,3091.41418328013,127.51887363700283,2767.7046276694728,2897,-323.7095556106574,3105
2,2273.173671808254,3100.907319958316,2415,0.04,2681.6666666666665,2685,3105,39.68999999999998,0.010000000000000002,3088.429062208793,37.22752044611307,2790.409255338946,2922,-298.0198068698469,3155
3,2394.8290033026897,3126.299756903095,2415,0.035,2648.3333333333335,2650,3130,23.04,0.015,3126.542696725273,22.868419523572395,2808.113883008419,2884.5,-318.4288137168537,3170
4,2047.7776149656856,3077.4035948909564,2415,0.030000000000000002,2615,2615,3080,12.16265625,0.02,2877.746438375839,3.883257611954351,2825.818510677892,2906.5,-51.92792769794687,3130
5,1912.5218007240655,3060.9830001574055,2415,0.025,2581.6666666666665,2585,3065,8.2944,0.025,2916.154538571149,4.0277569122428165,2848.523138347365,2899,-67.63140022378366,3170
6,1866.474395329442,3087.1884904086737,2415,0.020000000000000004,2548.3333333333335,2550,3090,7.290000000000001,0.03,2976.3407473331313,4.579758660969857,2866.227766016838,2920,-110.11298131629337,3120
7,1826.3679603151431,3108.9947475926465,2415,0.015,2515,2515,3110,6.502499999999997,0.035,3015.315840698561,4.597639722622792,2883.932393686311,2920.5,-131.3834470122497,3120
8,1893.6732960757472,3137.223226678144,2415,0.010000000000000002,2481.6666666666665,2485,3140,6.033164062499999,0.04,3034.816867686636,4.302775474993588,2906.637021355784,2926,-128.17984633085234,3180
9,1933.5193570499032,3157.988799590264,2415,0.0050000000000000044,2448.3333333333335,2450,3160,5.601111111111111,0.045,3019.7110344482053,3.6274719703479534,2924.341649025257,2951.5,-95.3693854229482,3165
10,1729.3323504633481,3127.1503791069917,2415,0,2415,2415,3130,4.601025,0.05,3119.4307900700287,4.466004641988164,2942.04627669473,2943.5,-177.38451337529887,3185
