Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,offset_swath_theo,local_Second_derv_maxima
0,1681.276687,2789.269939,2415,0.05,2748.333333,2750,2790,Inf,0,2757.884909,Inf,2750,2715.5,-7.884908979,2935
1,1683.813008,2792.845528,2415,0.045,2715,2715,2795,5.76,0.005,2782.81098,4.138496113,2767.704628,2720,-15.10635237,2855
2,2248.954571,3057.014749,2415,0.04,2681.666667,2685,3060,31.640625,0.01,3031.209427,27.49053174,2790.409255,2923,-240.8001713,3150
3,2268.974595,3089.993314,2415,0.035,2648.333333,2650,3090,19.36,0.015,3083.253196,18.91552866,2808.113883,2900.5,-275.1393126,3115
4,2007.278052,3039.810014,2415,0.03,2615,2615,3040,10.16015625,0.02,2825.850736,2.500764342,2825.818511,2876,-0.032225028,3105
5,1975.144435,3064.335915,2415,0.025,2581.666667,2585,3065,8.2944,0.025,2848.09183,2.555365241,2848.523138,2929,0.431308046,3140
6,1911.771831,3085.463639,2415,0.02,2548.333333,2550,3090,7.29,0.03,2864.93979,2.505991207,2866.227766,2938,1.287976214,3240
7,1854.09338,3089.818676,2415,0.015,2515,2515,3090,6.072704082,0.035,2885.297982,2.518541545,2883.932394,2926.5,-1.365587993,3110
8,1909.954481,3117.769348,2415,0.01,2481.666667,2485,3120,5.670351563,0.04,2908.133602,2.557603787,2906.637021,2915,-1.496580778,3100
9,1791.258064,3111.209677,2415,0.005,2448.333333,2450,3115,4.913611111,0.045,2926.726195,2.542885891,2924.341649,3043,-2.384546102,3150
10,1734.991353,3107.639878,2415,0,2415,2415,3110,4.347225,0.05,2942.097951,2.500490245,2942.046277,2918.5,-0.051673878,3130
