Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,offset_swath_theo,local_Second_derv_maxima
0,1656.03162055336,2778.083003952569,2415,0.05,2748.3333333333335,2750,2780,Inf,0,2743.8988372920085,Inf,2750,2692,6.101162707991534,2820
1,1796.6029197080206,2834.8759124087564,2415,0.045000000000000005,2715,2715,2835,12.960000000000013,0.0049999999999999975,2803.6647355634423,7.075291799281638,2788.560254969046,2744,-15.104480594396136,2955
2,2254.7223208844644,3076.951978617423,2415,0.04,2681.6666666666665,2685,3080,35.10562499999999,0.010000000000000002,3073.57374796963,34.5580110844667,2832.1205099380927,2928,-241.45323803153724,3110
3,2283.84524027549,3139.7183512867045,2415,0.035,2648.3333333333335,2650,3140,24.010000000000005,0.015,3138.0856471799502,23.985732891811494,2870.6807649071393,2912,-267.40488227281094,3125
4,1888.5581024227486,3088.081386914261,2415,0.030000000000000002,2615,2615,3090,12.69140625,0.02,2906.6861433572058,4.785795350246273,2909.2410198761854,2936.5,2.554876518979654,3400
5,1808.052067381317,3073.0130168453293,2415,0.025,2581.6666666666665,2585,3075,8.6436,0.025,2953.5985502983362,4.979999738224868,2952.801274845232,2904,-0.7972754531042483,3485
6,1745.2540476623617,3102.945343924969,2415,0.020000000000000004,2548.3333333333335,2550,3105,7.700625,0.03,2990.441527892738,4.886491392414411,2991.361529814278,2927.5,0.9200019215400062,3450
7,1694.020118989276,3141.783071015131,2415,0.015,2515,2515,3145,7.289999999999998,0.035,3028.011456260673,4.8339322210046305,3029.9217847833247,2955,1.9103285226515254,3175
8,1811.9704438729204,3178.862347900551,2415,0.010000000000000002,2481.6666666666665,2485,3180,6.792539062500001,0.04,3073.0480589959348,4.918105563655836,3073.482039752371,2944.5,0.43398075643608536,3195
9,1965.127832897966,3222.3780064505813,2415,0.0050000000000000044,2448.3333333333335,2450,3225,6.673611111111112,0.045,3113.989923377583,4.923318842992647,3112.0422947214174,2936,-1.9476286561657616,3250
10,1566.5218978102203,3160.2919708029203,2415,0,2415,2415,3165,5.0625,0.05,3151.4484542431337,4.881206931813908,3150.602549690464,2992,-0.8459045526697082,3415
