Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,offset_swath_theo,local_Second_derv_maxima
0,1664.4086140253985,2787.3412479293206,2415,0.05,2748.3333333333335,2750,2790,Inf,0,2753.5233975381216,Inf,2750,2693,-3.5233975381215714,2910
1,3122.360995850684,3306.5767634854956,2415,0.045000000000000005,2715,2715,3310,318.6225000000003,0.0049999999999999975,3395.5265694662467,416.80477057454885,2784.282032302755,2928,-611.2445371634917,2905
2,2303.463503777388,3114.8722628041396,2415,0.04,2681.6666666666665,2685,3115,41.60249999999999,0.010000000000000002,3108.2698579622593,40.94781363530642,2823.5640646055103,2910.5,-284.7057933567489,3125
3,2324.3445839288997,3142.46891678578,2415,0.035,2648.3333333333335,2650,3145,24.5025,0.015,3143.1131544412465,24.48070713755784,2857.8460969082653,2904.5,-285.2670575329812,3125
4,1928.490952263981,3076.2482600507656,2415,0.030000000000000002,2615,2615,3080,12.16265625,0.02,2932.691189452817,5.677182666896946,2892.12812921102,2887,-40.56306024179685,3115
5,1858.4782827393683,3070.869570684842,2415,0.025,2581.6666666666665,2585,3075,8.6436,0.025,2955.311028728047,5.025963934809215,2931.4101615137756,2915.5,-23.90086721427133,3425
6,1793.8835955056165,3093.3056179775276,2415,0.020000000000000004,2548.3333333333335,2550,3095,7.425625,0.03,2984.305216121547,4.751787064547493,2965.6921938165306,2956,-18.61302230501633,3425
7,1757.8012546107748,3112.0002560430153,2415,0.015,2515,2515,3115,6.612244897959182,0.035,2990.875376513053,4.15942115457747,2999.974226119286,3041.5,9.098849606232761,3135
8,1799.833937427542,3149.228506931026,2415,0.010000000000000002,2481.6666666666665,2485,3150,6.2187890625,0.04,3057.8656169071833,4.668823550506972,3039.256258422041,2954,-18.609358485142366,3265
9,1856.699307141762,3177.7607189438613,2415,0.0050000000000000044,2448.3333333333335,2450,3180,5.92111111111111,0.045,3128.850834386753,5.145600769333231,3073.538290724796,2964,-55.31254366195708,3160
10,1618.6893617021287,3138.021276595745,2415,0,2415,2415,3140,4.730624999999999,0.05,3082.0402675936575,4.004484467322764,3107.8203230275512,2968,25.780055433893722,3425
