Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,offset_swath_theo,local_Second_derv_maxima
0,1701.9786096256685,2789.639037433155,2415,0.05,2748.3333333333335,2750,2790,Inf,0,2751.670315476061,Inf,2750,2706.5,-1.6703154760612051,2905
1,1687.8414096916258,2788.9603524229065,2415,0.045000000000000005,2715,2715,2790,5.062500000000006,0.0049999999999999975,2770.6434549335972,2.7865746692525435,2784.282032302755,2726.5,13.638577369157701,2875
2,2374.6882788813655,3094.913410800379,2415,0.04,2681.6666666666665,2685,3095,37.82249999999999,0.010000000000000002,3086.28504720679,36.836107620955204,2823.5640646055103,2895,-262.7209826012795,3130
3,2303.4808767670293,3117.8702191917573,2415,0.035,2648.3333333333335,2650,3120,22.090000000000003,0.015,3116.972760039906,21.962291226386494,2857.8460969082653,2902.5,-259.1266631316407,3105
4,2005.9280519732365,3074.2123210187788,2415,0.030000000000000002,2615,2615,3075,11.902500000000002,0.02,2946.1876695429432,6.169796575722325,2892.12812921102,2919,-54.05954033192302,3080
5,1861.1054451166801,3066.0803802938635,2415,0.025,2581.6666666666665,2585,3070,8.468100000000002,0.025,2951.9577555370543,4.936157657885426,2931.4101615137756,2914.5,-20.547594023278634,3465
6,1784.620083076341,3085.6933517947423,2415,0.020000000000000004,2548.3333333333335,2550,3090,7.290000000000001,0.03,2962.88132504842,4.2962509358752845,2965.6921938165306,2908.5,2.810868768110595,3205
7,1750.5052597507674,3117.5902249554947,2415,0.015,2515,2515,3120,6.722908163265305,0.035,2994.480862523934,4.222687913755631,2999.974226119286,2958,5.493363595352093,3170
8,1830.333110870506,3145.170022626634,2415,0.010000000000000002,2481.6666666666665,2485,3150,6.2187890625,0.04,3061.2106657243585,4.723189408740686,3039.256258422041,2938,-21.954407302317577,3125
9,1949.103061003796,3189.547747359207,2415,0.0050000000000000044,2448.3333333333335,2450,3190,6.084444444444445,0.045,3163.0116262818065,5.675167360130481,3073.538290724796,2937.5,-89.47333555701061,3160
10,1582.123901581719,3136.8892794376093,2415,0,2415,2415,3140,4.730624999999999,0.05,3059.1120016089894,3.733922435550649,3107.8203230275512,2952.5,48.70832141856181,3170
