number,local_first_derivative_maximum,local_first_derivative_maximum_time,amplitude_first_derivative_maximum,local_second_serivative_maximum_time,local_minima_amplitude,local_minima_time,index_maxima,index_tangent_last,index_tangent,tangent_intercept_Swath,tangent_slope_Swath,intersection_time_swath,tangent_intercept,tangent_slope,intersection_time,probe_end_time,travel_length_medium,travel_time_media,air_start_time,air_end_time,theoretical_probe_end_time,rounded_theo_probe_end_time,swath_offset_time,index_minima,index_minima_tangent_first,index_minima_tangent_last,minima_swath_intersection,rounded_minima_swath_inters,r_Square_maxima,,
2,560,3910,2230,3860,1448,3315,783,903,663,-3193.500696,1.376797092,3371.230752,-8718,2.8,3630.714286,3635,0.01,365.1483717,2415,2681.666667,3046.815038,3045,-324.4157139,664,659,669,3375.217499,3380,0.984154453,,-270
3,700,3810,1622,3790,1269,3395,763,883,643,-3067.366124,1.267763623,3420.484739,-11713,3.5,3709.142857,3710,0.015,547.7225575,2415,2648.333333,3196.055891,3195,-224.4288484,680,675,685,3422.91495,3425,0.944244722,,-200
4,700,3825,1461,4245,1120,3445,766,886,646,-2930.721332,1.177702754,3439.510792,-11926.5,3.5,3727.571429,3730,0.02,730.2967433,2415,2615,3345.296743,3345,-94.21404911,690,685,695,3440.924675,3445,0.941015667,,-100
5,660,3865,1358,3850,1012,3470,774,889,659,-2941.546254,1.131535855,3493.964628,-11396.5,3.3,3760.151515,3765,0.025,912.8709292,2415,2581.666667,3494.537596,3495,0.572967649,695,690,700,3497.994214,3500,0.940463732,,25
6,620,4270,1770,4250,944,3555,855,970,740,-3561.813424,1.236410172,3644.270751,-11467,3.1,4003.548387,4005,0.03,1095.445115,2415,2548.333333,3643.778448,3645,-0.492302199,712,707,717,3653.326206,3655,0.975042587,,90
7,560,4285,1618,4265,915,3540,858,939,777,-4425.743661,1.407704457,3793.938162,-10380,2.8,4033.928571,4035,0.035,1278.019301,2415,2515,3793.019301,3795,-0.918860847,709,704,714,3803.91669,3805,0.987689633,,255
8,600,4270,1383,4530,893,3475,855,904,806,-5327.130909,1.577974026,3941.846194,-11427,3,4106.666667,4110,0.04,1460.593487,2415,2481.666667,3942.260153,3940,0.413958983,696,691,701,3965.840676,3970,0.981037356,,465
9,540,4285,1246,4605,948,3790,858,890,826,-5708.224213,1.62708042,4090.900568,-10323.5,2.7,4174.62963,4175,0.045,1643.167673,2415,2448.333333,4091.501006,4090,0.600437453,759,754,764,4106.402399,4110,0.977039518,,300
10,420,4600,1594,4520,949,3915,921,930,912,-6613.280702,1.783859649,4239.280094,-8066,2.1,4292.857143,4295,0.05,1825.741858,2415,2415,4240.741858,4240,1.461763937,784,779,789,4254.007409,4255,0.998304273,,325
