number,local_first_derivative_maximum,local_first_derivative_maximum_time,amplitude_first_derivative_maximum,local_second_serivative_maximum_time,local_minima_amplitude,local_minima_time,index_maxima,index_tangent_last,index_tangent,tangent_intercept_Swath,tangent_slope_Swath,intersection_time_swath,tangent_intercept,tangent_slope,intersection_time,probe_end_time,travel_length_medium,travel_time_media,air_start_time,air_end_time,theoretical_probe_end_time,rounded_theo_probe_end_time,swath_offset_time,index_minima,index_minima_tangent_first,index_minima_tangent_last,minima_swath_intersection,rounded_minima_swath_inters,r_Square_maxima,,
2,560,3910,2230,3860,1448,3315,783,928,638,-2673.636366,1.242538897,3317.108523,-8718,2.8,3630.714286,3635,0.01,365.1483717,2415,2681.666667,3046.815038,3045,-270.2934849,664,659,669,3318.099266,3320,0.972840493,1,90.85192945
3,700,3810,1622,3790,1269,3395,763,908,618,-2541.769026,1.13982537,3343.291985,-11713,3.5,3709.142857,3710,0.015,547.7225575,2415,2648.333333,3196.055891,3195,-147.2360945,680,675,685,3340.612316,3345,0.917244949,1.5,48.2967528
4,700,3825,1461,4245,1120,3445,766,911,621,-2441.595201,1.061035603,3356.716016,-11926.5,3.5,3727.571429,3730,0.02,730.2967433,2415,2615,3345.296743,3345,-11.41927253,690,685,695,3344.774927,3345,0.903281435,2,30.94552396
5,660,3865,1358,3850,1012,3470,774,861,687,-3267.598386,1.204605016,3552.698461,-11396.5,3.3,3760.151515,3765,0.025,912.8709292,2415,2581.666667,3494.537596,3495,-58.16086539,695,690,700,3559.844368,3560,0.967767941,2.5,33.94449886
6,620,4270,1770,4250,944,3555,855,929,781,-4085.308289,1.3672193,3678.494218,-11467,3.1,4003.548387,4005,0.03,1095.445115,2415,2548.333333,3643.778448,3645,-34.71576988,712,707,717,3689.315596,3690,0.984263006,3,31.93159064
7,560,4285,1618,4265,915,3540,858,915,801,-5078.501192,1.560463979,3840.845591,-10380,2.8,4033.928571,4035,0.035,1278.019301,2415,2515,3793.019301,3795,-47.82628992,709,704,714,3851.339156,3855,0.987753795,3.5,32.28734444
8,600,4270,1383,4530,893,3475,855,891,819,-6033.562076,1.741657411,3976.994576,-11427,3,4106.666667,4110,0.04,1460.593487,2415,2481.666667,3942.260153,3940,-34.73442244,696,691,701,4000.204859,4005,0.982918238,4,31.44382813
9,540,4285,1246,4605,948,3790,858,875,841,-7283.803361,1.991932773,4132.570874,-10323.5,2.7,4174.62963,4175,0.045,1643.167673,2415,2448.333333,4091.501006,4090,-41.06986827,759,754,764,4146.743006,4150,0.986961236,4.5,31.51840104
10,420,4600,1594,4520,949,3915,921,926,916,-7163.909091,1.903636364,4261.795606,-8066,2.1,4292.857143,4295,0.05,1825.741858,2415,2415,4240.741858,4240,-21.05374814,784,779,789,4276.476143,4280,0.998787288,5,30.69588611
