Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,offset_swath_theo,local_Second_derv_maxima
0,1701.9786096256685,2789.639037433155,2415,0.05,2748.3333333333335,2750,2790,Inf,0,2749.9371211566545,Inf,2750,2706.5,0.06287884334551563,2905
1,1687.8414096916258,2788.9603524229065,2415,0.045000000000000005,2715,2715,2790,5.062500000000006,0.0049999999999999975,2784.1877189747433,4.30824641123526,2784.282032302755,2726.5,0.09431332801159442,2875
2,2374.6882788813655,3094.913410800379,2415,0.04,2681.6666666666665,2685,3095,37.82249999999999,0.010000000000000002,3092.612474601116,37.997202838251916,2823.5640646055103,2895,-269.04840999560565,3130
3,2303.4808767670293,3117.8702191917573,2415,0.035,2648.3333333333335,2650,3120,22.090000000000003,0.015,3117.7065555614827,22.03112217448355,2857.8460969082653,2902.5,-259.8604586532174,3105
4,2005.9280519732365,3074.2123210187788,2415,0.030000000000000002,2615,2615,3075,11.902500000000002,0.02,2891.630574677905,4.3045017101228185,2892.12812921102,2919,0.4975545331153626,3080
5,1861.1054451166801,3066.0803802938635,2415,0.025,2581.6666666666665,2585,3070,8.468100000000002,0.025,2930.6921591272694,4.385476597945189,2931.4101615137756,2914.5,0.718002386506214,3465
6,1784.620083076341,3085.6933517947423,2415,0.020000000000000004,2548.3333333333335,2550,3090,7.290000000000001,0.03,2965.6453759711403,4.353733523263466,2965.6921938165306,2908.5,0.04681784539025102,3205
7,1750.5052597507674,3117.5902249554947,2415,0.015,2515,2515,3120,6.722908163265305,0.035,2999.9472684460916,4.319519752163123,2999.974226119286,2958,0.026957673194374365,3170
8,1830.333110870506,3145.170022626634,2415,0.010000000000000002,2481.6666666666665,2485,3150,6.2187890625,0.04,3039.413441223205,4.374583094928126,3039.256258422041,2938,-0.15718280116425376,3125
9,1949.103061003796,3189.547747359207,2415,0.0050000000000000044,2448.3333333333335,2450,3190,6.084444444444445,0.045,3071.942089513301,4.320976453159182,3073.538290724796,2937.5,1.5962012114946447,3160
10,1582.123901581719,3136.8892794376093,2415,0,2415,2415,3140,4.730624999999999,0.05,3106.9819604943987,4.309551302847044,3107.8203230275512,2952.5,0.8383625331525764,3170
