Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,offset_swath_theo,local_Second_derv_maxima
0,1669.3053561568158,2789.019878520154,2415,0.05,2748.3333333333335,2750,2790,Inf,0,2750.7465657206076,Inf,2750,2715,-0.7465657206075775,2845
1,1642.1323529411748,2768.0882352941176,2415,0.045000000000000005,2715,2715,2770,2.7225000000000033,0.0049999999999999975,2768.0042016806706,2.5285008562246842,2784.282032302755,2667,16.277830622084366,2790
2,2830.8154029202797,3101.8757443385334,2415,0.04,2681.6666666666665,2685,3105,39.68999999999998,0.010000000000000002,3101.599318541661,39.677272224922184,2823.5640646055103,2727,-278.03525393615064,3110
3,2317.1137546950595,3118.960373339374,2415,0.035,2648.3333333333335,2650,3120,22.090000000000003,0.015,3118.848005543956,22.13840567654694,2857.8460969082653,2915.5,-261.0019086356906,3150
4,2001.6810352365137,3068.0192941039318,2415,0.030000000000000002,2615,2615,3070,11.645156250000001,0.02,2889.721015698425,4.245279551233558,2892.12812921102,2906,2.4071135125950605,3135
5,1913.6573048019363,3078.6504903833907,2415,0.025,2581.6666666666665,2585,3080,8.820900000000002,0.025,2930.7134665865847,4.386012067236073,2931.4101615137756,2906,0.69669492719094706,3130
6,1796.3567034633852,3079.7459341029744,2415,0.020000000000000004,2548.3333333333335,2550,3080,7.0225,0.03,2965.0113588230656,4.340514423150546,2965.6921938165306,2906,0.6808349934649414,3110
7,1758.4709526491351,3102.9935450331413,2415,0.015,2515,2515,3105,6.393673469387752,0.035,3000.6850148083,4.332672249967441,2999.974226119286,2924.5,-0.7107886890139525,3145
8,1902.3536766566085,3154.481113069923,2415,0.010000000000000002,2481.6666666666665,2485,3155,6.312656250000001,0.04,3038.2875377432415,4.356939292285009,3039.256258422041,2912,0.9687206787994,3150
9,1948.9587176556724,3197.8171125338417,2415,0.0050000000000000044,2448.3333333333335,2450,3200,6.25,0.045,3074.0756232091426,4.350593481544679,3073.538290724796,2943,-0.5373324843467344,3155
10,1577.782214156081,3155.662431941924,2415,0,2415,2415,3160,4.995225,0.05,3106.913043929966,4.30869294324388,3107.8203230275512,2989,0.9072790975851603,3245
